LEGRAND,6430,1533,1269,2021
LVMH,53670,14177,11504,2019
LVMH,44651,12431,8305,2020
LVMH,56042,16083,12116,2021
METROPOLE TV,1456,394,276,2019
METROPOLE TV,1274,373,271,2020
METROPOLE TV,1309,339,264,2021
MICHELIN,24135,4693,3009,2019
MICHELIN,20469,3631,1878,2020
MICHELIN,22141,4334,2546,2021
NATIXIS,9219,0,2564,2019
NATIXIS,7306,0,1478,2020
NATIXIS,8040,0,1967,2021
NEXANS,4605,413,249,2019
NEXANS,5713,347,193,2020
NEXANS,6009,431,250,2021
ORANGE,42238,12860,5774,2019
ORANGE,42298,12693,5562,2020
ORANGE,42547,12795,5545,2021
ORPEA,3740,949,504,2019
ORPEA,3922,917,430,2020
ORPEA,4236,1058,533,2021
PERNOD RICARD,9182,2807,2581,2019
PERNOD RICARD,8448,2610,2260,2020
PERNOD RICARD,8497,2582,2238,2021
PUBLICIS GROUPE,9800,2247,1659,2019
PUBLICIS GROUPE,9712,2158,1558,2020
PUBLICIS GROUPE,9860,2227,1608,2021
REMY COINTREAU,1216,291,264,2019
REMY COINTREAU,1025,248,215,2020
REMY COINTREAU,1020,254,218,2021
RENAULT,55537,5832,2105,2019
RENAULT,43474,3046,-337,2020
RENAULT,49416,5459,1197,2021
REXEL,13742,953,646,2019
REXEL,12592,821,526,2020
REXEL,13247,926,615,2021
SAFRAN,24640,4837,3820,2019
SAFRAN,16498,2720,1686,2020
SAFRAN,15653,2967,1870,2021
SAINT GOBAIN,42573,5158,3390,2019
SAINT GOBAIN,38128,4570,2855,2020
SAINT GOBAIN,39596,5172,3357,2021
SANOFI,37631,11320,9758,2019
SANOFI,36041,11233,9762,2020
SANOFI,37744,11514,10118,2021
SARTORIUS STED BIO,1441,422,354,2019
SARTORIUS STED BIO,1910,605,492,2020
SARTORIUS STED BIO,2454,768,663,2021
SCHNEIDER ELECTRIC,27158,4887,3603,2019
SCHNEIDER ELECTRIC,25159,4356,3926,2020
SCHNEIDER ELECTRIC,27060,5100,3866,2021
SCOR SE,16341,0,713,2019
SCOR SE,16368,0,479,2020
SCOR SE,17334,0,709,2021
SEB,7354,903,703,2019
SEB,6940,851,581,2020
SEB,7349,941,691,2021
SES,1984,1217,365,2019
SES,1876,1152,82,2020
SES,1790,1062,350,2021
SOCIETE GENERALE,24671,0,6944,2019
SOCIETE GENERALE,22113,0,5399,2020
SOCIETE GENERALE,23060,0,6160,2021
SODEXO,21954,1564,1200,2019
SODEXO,19321,1191,569,2020
SODEXO,17941,1173,571,2021
SOPRA STERIA GROUP,4434,504,332,2019
SOPRA STERIA GROUP,4263,489,280,2020
SOPRA STERIA GROUP,4506,510,338,2021
SPIE,6953,539,416,2019
SPIE,6655,492,274,2020
SPIE,6942,536,393,2021
STELLANTIS NV,108187,10381,6668,2019
STELLANTIS NV,134366,14127,7106,2020
STELLANTIS NV,152226,18276,9956,2021
STMICROELECTRONICS,8651,1866,1089,2019
STMICROELECTRONICS,8430,1858,1091,2020
STMICROELECTRONICS,9945,2429,1508,2021
TECHNIPFMC,12206,1392,959,2019
TECHNIPFMC,10676,886,528,2020
TECHNIPFMC,5198,457,125,2021
TELEPERFORMANCE,5355,1138,621,2019
TELEPERFORMANCE,5732,1128,555,2020
TELEPERFORMANCE,6314,1294,753,2021
TF1,2337,498,255,2019
TF1,2082,451,190,2020
TF1,2222,474,228,2021
THALES,18401,2593,2008,2019
THALES,16989,2056,1352,2020
THALES,17684,2469,1724,2021
TOTAL,160555,29325,15833,2019
TOTAL,98949,15285,4231,2020
TOTAL,128971,23883,11595,2021
UBISOFT ENTERTAINMENT,2029,963,446,2019
UBISOFT ENTERTAINMENT,1534,591,34,2020
UBISOFT ENTERTAINMENT,2279,1142,480,2021
VALEO,19477,2466,969,2019
VALEO,16436,1505,-458,2020
VALEO,18596,2392,780,2021
VERALLIA,2586,615,295,2019
VERALLIA,2536,626,316,2020
VERALLIA,2578,658,395,2021
VINCI,48053,8496,5734,2019
VINCI,43234,5919,2858,2020
VINCI,46680,7386,4332,2021
VIVENDI,15898,2278,1526,2019
VIVENDI,16090,2398,1627,2020
VIVENDI,16976,2674,2006,2021
WORLDLINE,2382,594,423,2019
WORLDLINE,2748,700,492,2020
WORLDLINE,5170,1312,1022,2021
